CHW_SKU_NUMBER	MC2_NAME	MC3_NAME	CHW_PRIMARY_SUPPLIER_NAME	PRODUCT	CHW_PRIMARY_SUPPLIER_NUMBER	SKU_NAME	PURCHASE_MOQ	CHW_UNITS_PER_CARTON	CHW_MASTER_CASE_PACK	CHW_MASTER_CARTON_CBM	DEST	Demand
247916	Containment & Gear	Containment	B000164-PMandJ LLC - Vietnam	Frisco Heavy Duty All-in-1 Multi-Stage 3 Door Collapsible Wire Dog Crate	B000164	Frisco Heavy Duty All-in-1 Multi-Stage 3 Door Collapsible Wire Dog Crate, Large	250	1.0	1.0	0.08927973438572251	MDT1	78.20629093060288
128075	Beds & Furniture	Furniture	B3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.(Cambodia)	Frisco 33-in Heavy Duty Sisal Cat Scratching Post	B3755	Frisco 33-in Heavy Duty Sisal Cat Scratching Post, Cream	100	1.0	1.0	0.0409605	MDT1	2258.2206491917805
144850	Containment & Gear	Containment	B000064-PM&J LLC - DIRECT IMPORT	Frisco Dog Crate Mat	B000064	Frisco Dog Crate Mat, Dark Gray, 54-in	252	0.0	12.0	0.6736127999999999	MDT1	65.4267574212956
353207	Containment & Gear	Gear	P000544-SHANGHAI SENFUL CO LTD	Frisco Bolster Bench Car Seat Cover	P000544	Frisco Bolster Bench Car Seat Cover, Large, Black	300	0.0	4.0	0.134946	MDT1	0.0
210235	Containment & Gear	Containment	B000064-PM&J LLC - DIRECT IMPORT	Frisco Gray Basket Weave Dog Crate Mat	B000064	Frisco Gray Basket Weave Dog Crate Mat, 48-in	504	0.0	8.0	0.21888	MDT1	0.0
169663	Containment & Gear	Gear	P000544-SHANGHAI SENFUL CO LTD	Frisco Water Resistant Hammock Car Seat Cover	P000544	Frisco Water Resistant Hammock Car Seat Cover, Regular, Black	300	0.0	12.0	0.06786	MDT1	0.0
89558	Waste Management	Potty Pads & Diapers	P000486-TIANJIN YIYI HYGIENE PRODUCTS CO. LTD	Frisco Giant Premium Dog Training & Potty Pads	P000486	Frisco Giant Premium Dog Training & Potty Pads, 27.5 x 44-in, Unscented, 30 count	800	4.0	4.0	0.08105937708699906	MDT1	378.4566275135714
97486	Containment & Gear	Containment	P000398-TANGSHAN KANGBEI PET PRODUCTS CO. LTD	Frisco Dog & Small Pet Wire Exercise Pen with Step-Through Door	P000398	Frisco Dog & Small Pet Wire Exercise Pen with Step-Through Door, Black, 42-in	400	0.0	1.0	0.050404626931124304	MDT1	102.11164143673489
160808	Containment & Gear	Containment	B000164-PMandJ LLC - Vietnam	Frisco Fold & Carry Single Door Collapsible Wire Dog Crate	B000164	Frisco Fold & Carry Single Door Collapsible Wire Dog Crate, Blue, Small	250	1.0	1.0	0.032732810148442315	MDT1	79.94359163616603
163749	Beds & Furniture	Furniture	B3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.(Cambodia)	Frisco 33-in Heavy Duty Sisal Cat Scratching Post	B3755	Frisco 33-in Heavy Duty Sisal Cat Scratching Post, Gray	100	1.0	1.0	0.0409605	MDT1	1769.3017831053312
163745	Beds & Furniture	Furniture	B3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.(Cambodia)	Frisco 20-in Faux Fur Cat Tree	B3755	Frisco 20-in Faux Fur Cat Tree, Gray	100	1.0	1.0	0.02467125	MDT1	203.60636810146391
