product_merch_classification2,product_merch_classification3,product_category_level1,product_category_level2,product_category_level3,parent_product_part_number,product_part_number,product_name,Code,vendor_name,vendor_purchaser_code,Purchase MOQ,Master Case Pack,Case Pk CBM,Vendor Earliest ETD,DEST,Demand,cases_needed,total_cbm,container
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112076,"Frisco Steel-Framed Elevated Dog Bed, Gray, Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,5,0.0636771,2025-11-01 00:00:00,MDT1,205.04486740755215,42,2.6744382,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112072,"Frisco Steel-Framed Elevated Dog Bed, Green, Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,5,0.0636771,2025-11-01 00:00:00,MDT1,103.68582969794826,21,1.3372191,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,336123.0,309822,"Frisco Dog Poop Bag Solid Assortment in Teal Blue, Violet, Gray, & Coral, 270 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,504,24,0.0406848,2025-11-01 00:00:00,MDT1,69.33400958385407,3,0.12205440000000001,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,162702.0,135730,"Frisco Refill Dog Poop Bags, Unscented, 900 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,500,10,0.05194,2025-11-01 00:00:00,MDT1,60.26660440355829,7,0.36358,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,162702.0,135729,"Frisco Refill Dog Poop Bags, Scented, 900 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,500,10,0.05194,2025-11-01 00:00:00,MDT1,47.98701972928186,5,0.2597,1
Waste Management,Poop Scoopers,Dog,Waste Management,Poop Scoopers,253996.0,227481,"Frisco Spring Action Foldable Scooper, X-Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,102,6,0.116112,2025-11-01 00:00:00,MDT1,12.862241973123776,3,0.34833600000000003,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,162702.0,135716,"Frisco Refill Dog Poop Bags, Unscented, 120 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,528,48,0.03492675,2025-11-01 00:00:00,MDT1,45.98752028897757,1,0.03492675,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112068,"Frisco Steel-Framed Elevated Dog Bed, Terracotta, Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,5,0.0636771,2025-11-01 00:00:00,MDT1,53.09390011059689,11,0.7004481,1
Litter Accessories,Mats,Cat,Litter & Accessories,Mats,193006.0,309791,"Frisco Paw Shaped Cat Litter Mat, Beige",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,1520,40,0.0904084,2025-11-01 00:00:00,MDT1,112.68946604370736,3,0.2712252,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193147.0,166447,"Frisco Easy Grip Stake with Tie Out Cable, Large, 30-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,204,6,0.0191565,2025-11-01 00:00:00,MDT1,63.0446095812886,11,0.2107215,1
Bowls & Feeders,Bowls & Diners,Dog,Bowls & Feeders,Bowls & Diners,201909.0,175221,"Frisco Stainless Steel Bowl, Medium: 4 cup, 2 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,1504,16,0.037125,2025-11-01 00:00:00,MDT1,230.63943855783432,15,0.556875,1
Beauty & Grooming,Brushes & Combs,Dog,Grooming,Brushes & Combs,233445.0,206845,"Frisco Grooming Glove, Right Hand",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,500,100,0.05075,2025-11-01 00:00:00,MDT1,73.99790306025108,1,0.05075,1
