MC2_NAME,MC3_NAME,CHW_PRIMARY_SUPPLIER_NAME,PRODUCT,CHW_PRIMARY_SUPPLIER_NUMBER,SKU_NAME,PURCHASE_MOQ,CHW_SKU_NUMBER,CHW_UNITS_PER_CARTON,CHW_MASTER_CASE_PACK,CHW_MASTER_CARTON_CBM
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,PCA3755,"Frisco Basic Dog & Cat T-Shirt, Red, X-Small",,1000082861,0,0,
Apparel,Apparel,"P18936-PETPARTY PRODUCTS CO., LTD",Frisco Püppy Dog & Cat Athletic Hoodie,P18936,"Frisco Püppy Dog & Cat Athletic Hoodie, Red, XXX-Large",1500,224941,0,36,0.055125
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Teal, XX-Large",1500,153687,0,50,0.03375
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Red, XX-Large",1500,144601,0,50,0.03375
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Pink, X-Large",1500,139404,0,50,0.0288
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Red, XXX-Large",1500,224913,0,50,0.03375
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Gingham Personalized Dog & Cat Bandana,P19132,"Frisco Gingham Personalized Dog & Cat Bandana, Navy, Large",1,258771,0,1,0
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Gingham Personalized Dog & Cat Bandana,P19132,"Frisco Gingham Personalized Dog & Cat Bandana, Blue, Large",1,258768,0,1,0
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Nautical Personalized Dog & Cat Bandana,P19132,"Frisco Nautical Personalized Dog & Cat Bandana, Large",1,258764,0,1,0
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Dog & Cat Basic Hoodie,PCA3755,"Frisco Dog & Cat Basic Hoodie, Black, XX-Large",,1000082999,0,0,
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,PCA3755,"Frisco Basic Dog & Cat T-Shirt, Navy, X-Small",,1000082891,0,0,
Specialty Hard Goods,Toys & Decor,B000064-PM&J LLC - DIRECT IMPORT,Frisco Geometric Small Pet Bunk Bed,B000064,"Frisco Geometric Small Pet Bunk Bed, Green",504,278097,0,36,0.0972
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat Hoodie,3755,"Frisco Basic Dog & Cat Hoodie, Black, X-Small",1500,119241,0,50,0.01512
Personalized,Personalized People Products,P18532-FUJIFILM NORTH AMERICA CORPORATION - V2C,"Frisco Double Walled ""Leader Of The Pack"" Personalized Tumbler",P18532,"Frisco Double Walled ""Leader Of The Pack"" Personalized Tumbler",1,219775,0,0,
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,PCA3755,"Frisco Basic Dog & Cat T-Shirt, Red, XXX-Large",,1000082885,0,0,
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat Hoodie,3755,"Frisco Basic Dog & Cat Hoodie, Teal, Small",1500,153689,0,50,0.024738
Toys,Interactive Toys,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Foldable Play Tri-Tunnel Cat Toy,PCA3755,"Frisco Foldable Play Tri-Tunnel Cat Toy, Colorful",,1000066631,0,0,
Specialty Hard Goods,Toys & Decor,B000064-PM&J LLC - DIRECT IMPORT,Frisco Geometric Small Pet Plush Hanging Cube,B000064,"Frisco Geometric Small Pet Plush Hanging Cube, Green",504,278121,0,36,0.1482
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat Hoodie,3755,"Frisco Basic Dog & Cat Hoodie, Pink, XXX-Large",1500,224922,0,50,0.059625
Specialty Hard Goods,Toys & Decor,B000064-PM&J LLC - DIRECT IMPORT,Frisco Herringbone Plush Small Pet House,B000064,"Frisco Herringbone Plush Small Pet House, Blue",504,278116,0,24,0.0882
Specialty Hard Goods,Toys & Decor,B000064-PM&J LLC - DIRECT IMPORT,Frisco Hanging Koala  Small Pet Bed,B000064,"Frisco Hanging Koala  Small Pet Bed, Grey",480,278140,0,48,0.17136
