parent_product_part_number,product_part_number,product_name,vendor_Code,vendor_name,vendor_purchaser_code,MOQ,MCP,case_pk_CBM,planned_demand,vendor_earliest_ETD,MC1,MC2,BRAND,SKU,PUBBED,OH,T90_DAILY_AVG,F90_DAILY_AVG,AVG_LT,ost_ord,Next_Delivery,T90_DOS_OH,F90_DOS_OH,F90_DOS_OO,T90_BELOW,F90_BELOW,baseConsumption,bufferConsumption,baseDemand,bufferDemand,excess_demand
166463.0,139518,"Frisco Birthday Cake Dog & Cat Hat, X-Small/Small",3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.",JADESCHACK,1500.0,50,0.052896,1000.0,2026-01-01 00:00:00,,,,,,0.0,,,129.73958333333334,0.0,,,,,,,0.0,1000.0,1500.0,1000.0,0.0
166463.0,139519,"Frisco Birthday Cake Dog & Cat Hat, Medium/Large",3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.",JADESCHACK,1500.0,25,0.070756,3108.0,2026-01-01 00:00:00,,,,,,0.0,,,129.73958333333334,0.0,,,,,,,0.0,3108.0,3125.0,3108.0,0.0
189514.0,162803,"Frisco Dog & Cat Birthday Bandana, Medium/Large",3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.",JADESCHACK,1500.0,150,0.019575,5806.0,2026-01-01 00:00:00,Hard Goods,Apparel,Frisco,162803,True,7931.0,26.42,98.7,127.0,6450.0,2026-02-16,300.19,80.35,65.35,False,True,15298.5,18062.100000000002,1500.0,3681.100000000002,2100.0
189514.0,248629,"Frisco Dog & Cat Birthday Bandana, X-Small/Small",3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.",JADESCHACK,1500.0,250,0.024,1277.0,2026-01-01 00:00:00,Hard Goods,Apparel,Frisco,248629,True,651.0,2.51,14.77,127.0,3750.0,2026-02-16,259.36,44.08,253.89,False,True,2289.35,2702.91,1500.0,0.0,1250.0
608198.0,608214,"Frisco Dog & Cat Birthday Bandana, Pink, Medium/Large",3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.",JADESCHACK,1500.0,144,0.024,1105.0,2026-01-01 00:00:00,Hard Goods,Apparel,Frisco,608214,True,3591.0,8.13,28.51,127.0,1152.0,2026-02-16,441.7,125.96,40.41,False,True,4419.05,5217.33,1584.0,474.3299999999999,576.0
608198.0,608206,"Frisco Dog & Cat Birthday Bandana, Pink, X-Small/Small",3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.",JADESCHACK,1500.0,288,0.024,757.0,2026-01-01 00:00:00,Hard Goods,Apparel,Frisco,608206,True,1112.0,4.17,12.39,127.0,864.0,2026-02-16,266.67,89.75,69.73,False,True,1920.45,2267.37,1728.0,291.3699999999999,288.0
126779.0,112070,"Frisco Steel-Framed Elevated Dog Bed, Green, Small",B3722,"CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,",KNGO1,252.0,6,0.04983345,252.0,2026-01-01 00:00:00,Hard Goods,Beds & Furniture,Frisco,112070,True,594.0,1.14,1.43,104.0,0.0,,521.05,415.38,0.0,False,False,188.76,228.79999999999998,252.0,0.0,252.0
126779.0,112071,"Frisco Steel-Framed Elevated Dog Bed, Green, Medium",B3722,"CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,",KNGO1,252.0,6,0.05881245,252.0,2026-01-01 00:00:00,Hard Goods,Beds & Furniture,Frisco,112071,True,711.0,2.29,5.29,104.0,606.0,2026-02-25,310.48,134.4,114.56,False,False,698.28,846.4,252.0,0.0,252.0
126779.0,99229,"Frisco Steel-Framed Elevated Dog Bed, Brown, Medium",B3722,"CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,",KNGO1,252.0,6,0.05881245,252.0,2026-01-01 00:00:00,Hard Goods,Beds & Furniture,Frisco,99229,True,742.0,5.70,11.88,104.0,1410.0,2025-11-28,130.18,62.46,118.69,False,True,1568.16,1900.8000000000002,252.0,0.0,252.0
126779.0,112068,"Frisco Steel-Framed Elevated Dog Bed, Terracotta, Large",B3722,"CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,",KNGO1,250.0,5,0.0636771,250.0,2026-01-01 00:00:00,Hard Goods,Beds & Furniture,Frisco,112068,True,535.0,5.99,13.1,104.0,1840.0,2025-11-28,89.32,40.84,140.46,True,True,1729.2,2096.0,250.0,0.0,250.0
126779.0,112076,"Frisco Steel-Framed Elevated Dog Bed, Gray, Large",B3722,"CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,",KNGO1,250.0,5,0.0636771,250.0,2026-01-01 00:00:00,Hard Goods,Beds & Furniture,Frisco,112076,True,2525.0,12.21,26.27,104.0,4210.0,2025-11-28,206.8,96.12,160.26,False,True,3467.64,4203.2,250.0,0.0,250.0
233505.0,206905,"Frisco Microfiber Towel for Cats and Dogs, 1 count",P18360,PETENGREAT CO LTD,JADESCHACK,720.0,72,0.174375,1080.0,2026-01-01 00:00:00,Hard Goods,Beauty & Grooming,Frisco,206905,True,2184.0,8.91,14.21,140.0,2232.0,2026-01-16,245.12,153.69,157.07,False,False,2387.28,2785.1600000000003,720.0,0.0,1080.0
